sample_id,source_dataset,split,label
train/fall/frame_0073.jpg,leeds_millennium,train,fall
train/fall/frame_0074.jpg,leeds_millennium,train,fall
train/fall/frame_0075.jpg,leeds_millennium,train,fall
train/fall/frame_0076.jpg,leeds_millennium,train,fall
train/fall/frame_0077.jpg,leeds_millennium,train,fall
train/fall/frame_0079.jpg,leeds_millennium,train,fall
train/fall/frame_0080.jpg,leeds_millennium,train,fall
train/fall/frame_0082.jpg,leeds_millennium,train,fall
train/fall/frame_0084.jpg,leeds_millennium,train,fall
train/fall/frame_0085.jpg,leeds_millennium,train,fall
train/fall/frame_0086.jpg,leeds_millennium,train,fall
train/fall/frame_0087.jpg,leeds_millennium,train,fall
train/fall/frame_0088.jpg,leeds_millennium,train,fall
train/fall/frame_0096.jpg,leeds_millennium,train,fall
train/fall/frame_0097.jpg,leeds_millennium,train,fall
train/fall/frame_0098.jpg,leeds_millennium,train,fall
train/fall/frame_0203.jpg,leeds_millennium,train,fall
train/fall/frame_0204.jpg,leeds_millennium,train,fall
train/fall/frame_0205.jpg,leeds_millennium,train,fall
train/fall/frame_0206.jpg,leeds_millennium,train,fall
train/fall/frame_0230.jpg,leeds_millennium,train,fall
train/fall/frame_0231.jpg,leeds_millennium,train,fall
train/fall/frame_0232.jpg,leeds_millennium,train,fall
train/fall/frame_0234.jpg,leeds_millennium,train,fall
train/fall/frame_0235.jpg,leeds_millennium,train,fall
train/fall/people(1006).jpg,leeds_millennium,train,fall
train/fall/people(1008).jpg,leeds_millennium,train,fall
train/fall/people(1010).jpg,leeds_millennium,train,fall
train/fall/people(1012).jpg,leeds_millennium,train,fall
train/fall/people(1019).jpg,leeds_millennium,train,fall
train/fall/people(1020).jpg,leeds_millennium,train,fall
train/fall/people(1021).jpg,leeds_millennium,train,fall
train/fall/people(1030).jpg,leeds_millennium,train,fall
train/fall/people(1034).jpg,leeds_millennium,train,fall
train/fall/people(1036).jpg,leeds_millennium,train,fall
train/fall/people(1042).jpg,leeds_millennium,train,fall
train/fall/people(1043).jpg,leeds_millennium,train,fall
train/fall/people(1044).jpg,leeds_millennium,train,fall
train/fall/people(1046).jpg,leeds_millennium,train,fall
train/fall/people(1047).jpg,leeds_millennium,train,fall
train/fall/people(1048).jpg,leeds_millennium,train,fall
train/fall/people(106).jpg,leeds_millennium,train,fall
train/fall/people(1061).jpg,leeds_millennium,train,fall
train/fall/people(1069).jpg,leeds_millennium,train,fall
train/fall/people(1082).jpg,leeds_millennium,train,fall
train/fall/people(1083).jpg,leeds_millennium,train,fall
train/fall/people(1089).jpg,leeds_millennium,train,fall
train/fall/people(1092).jpg,leeds_millennium,train,fall
train/fall/people(111).jpg,leeds_millennium,train,fall
train/fall/people(1110).jpg,leeds_millennium,train,fall
train/fall/people(1124).jpg,leeds_millennium,train,fall
